Beacon1,Beacon2,Beacon3,Beacon4,Quadrante
-70,-74,-81,-91,A
-72,-76,-80,-92,A
-69,-73,-83,-89,A
-71,-75,-84,-88,A
-73,-77,-79,-90,A
-75,-76,-82,-91,A
-70,-74,-81,-89,A
-72,-75,-80,-88,A
-74,-77,-83,-90,A
78,-85,-92,-98,B
-80,-84,-91,-99,B
-79,-86,-93,-97,B
-81,-83,-94,-96,B
-83,-85,-92,-98,B
-85,-87,-91,-99,B
68,-75,-82,-88,A
-80,-84,-90,-100,B
-82,-86,-93,-97,B
-79,-83,-94,-96,B
-88,-95,-102,-108,C
-90,-94,-101,-109,C
-92,-97,-100,-110,C
-89,-96,-103,-107,C
-91,-93,-104,-106,C
-93,-95,-102,-108,C
-95,-97,-101,-109,C
-90,-96,-100,-110,C
-92,-93,-103,-107,C
-82,-87,-90,-100,B
-89,-94,-104,-106,C
-98,-105,-112,-118,D
-100,-104,-111,-119,D
-102,-107,-110,-120,D
-99,-106,-113,-117,D
-101,-103,-114,-116,D
-103,-105,-112,-118,D
-105,-107,-111,-119,D
-100,-106,-110,-120,D
-102,-103,-113,-117,D
-99,-104,-114,-116,D
